Price,Salary,Age,Rooms,Bedroom,Population,Household,Classifier
452600,8,41,880,129,322,126,TRUE
358500,8,21,7099,1106,2401,1138,TRUE
352100,7,52,1467,190,496,177,TRUE
341300,6,52,1274,235,558,219,TRUE
342200,4,52,1627,280,565,259,TRUE
269700,4,52,919,213,413,193,TRUE
299200,4,52,2535,489,1094,514,TRUE
226700,2,42,2555,665,1206,595,TRUE
261100,4,52,3549,707,1551,714,TRUE
281500,3,52,2202,434,910,402,TRUE
241800,3,52,3503,752,1504,734,TRUE
213500,3,52,2491,474,1098,468,TRUE
191300,3,52,696,191,345,174,FALSE
159200,2,52,2643,626,1212,620,FALSE
140000,2,50,1120,283,697,264,FALSE
152500,3,52,1966,347,793,331,FALSE
155500,2,52,1228,293,648,303,FALSE
158700,2,50,2239,455,990,419,FALSE
162900,3,52,1503,298,690,275,FALSE
147500,1,40,751,184,409,166,FALSE
322300,7,23,3741,501,1339,499,TRUE
267100,4,19,3192,612,1317,594,TRUE
268000,6,26,1619,224,706,220,TRUE
273600,6,18,2077,298,937,292,TRUE
339200,7,9,2214,256,848,239,TRUE
330200,8,25,2652,335,1062,334,TRUE
163100,3,33,1653,334,814,328,FALSE
231400,6,24,5732,873,2444,888,TRUE
227800,5,22,2105,354,993,365,TRUE
197100,5,29,866,138,341,133,TRUE
144600,3,22,5175,1213,2804,1091,FALSE
279300,6,21,5541,776,2214,737,TRUE
52500,2,15,946,239,550,246,FALSE
100200,4,7,2075,353,1040,362,TRUE
89500,5,8,943,189,475,155,TRUE
54600,1,32,1098,226,726,224,FALSE
78900,3,28,1868,350,898,329,TRUE
111300,4,3,2029,336,1003,340,TRUE
113700,5,4,2145,334,1024,308,TRUE
120000,6,11,2455,344,1110,339,TRUE
123300,5,2,2579,376,1133,342,TRUE
114400,5,4,1262,216,622,199,TRUE
